1006|998|1001|999|998|998|1000|1001|1000|1002|1002|1002|1003|1002|1006|1006|1005|1003|1007|1006|1006|1008|1007|1007|1009|1010|1009|1007|1009|1007|1008|1008|1009|1010|1009|1011|1012|1010|1009|1009|1012|1010|1010|1011|1010|1010|1009|1009|1013|1011|1009|1010|1011|1011|1010|1012|1009|1009|1012|1011|1012|1012|1011|1009|1012|1010|1012|1013|1012|1013|1013|1014|1012|1014|1016|1015|1017|1016|1016|1015|

1003|1000|1000|1001|1003|1002|999|998|1000|999|997|995|998|999|999|999|997|989|991|991|990|996|991|996|996|997|999|999|1001|1003|1004|1004|1005|995|997|1003|1006|1005|1008|1006|1007|1012|1010|1010|1008|1009|1010|1011|1012|1013|1013|1011|1013|1015|1010|1015|1014|1015|1015|1014|1012|1011|1013|1013|1013|1012|1011|1017|1013|1012|1012|1010|1008|1010|1011|1009|1009|1010|1011|1008|

950|966|968|967|966|968|966|968|968|965|968|965|971|968|970|968|970|971|970|969|971|968|970|971|970|973|973|970|970|970|972|973|969|975|973|976|974|972|975|973|973|974|973|975|975|975|975|974|973|975|973|975|975|975|975|979|975|976|979|974|975|976|977|978|978|978|980|977|977|979|976|980|977|975|979|978|982|980|977|977|

993|995|991|994|995|996|992|993|994|994|997|997|997|1000|997|995|993|998|997|997|1001|999|996|1000|998|1000|996|1001|998|1001|998|1000|997|1005|1002|1001|1000|998|1002|1003|1001|999|1000|997|1002|1002|1003|1000|1000|1000|1000|1005|1003|1003|999|1003|1003|1001|1003|1003|1006|1007|1002|1004|1003|999|1002|1005|1003|1005|1004|1004|1006|1003|1002|1003|1004|1005|1004|1006|

1006|1009|1010|1010|1012|1011|1013|1012|1013|1012|1013|1013|1011|1014|1014|1012|1012|1014|1015|1013|1015|1014|1014|1013|1013|1015|1014|1016|1016|1016|1018|1015|1016|1017|1017|1016|1016|1017|1016|1016|1016|1017|1017|1018|1017|1019|1018|1018|1018|1018|1019|1019|1018|1019|1019|1017|1019|1020|1020|1020|1020|1020|1021|1019|1019|1021|1021|1021|1020|1021|1019|1020|1020|1021|1020|1021|1022|1021|1020|1022|

